table_schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default,identity_generation,generated_kind,comment
auth,users,10,confirmation_sent_at,timestamp with time zone,YES,null,null,null,null
auth,users,11,recovery_token,character varying(255),YES,null,null,null,null
auth,users,12,recovery_sent_at,timestamp with time zone,YES,null,null,null,null
auth,users,13,email_change_token_new,character varying(255),YES,null,null,null,null
auth,users,14,email_change,character varying(255),YES,null,null,null,null
auth,users,15,email_change_sent_at,timestamp with time zone,YES,null,null,null,null
auth,users,16,last_sign_in_at,timestamp with time zone,YES,null,null,null,null
auth,users,17,raw_app_meta_data,jsonb,YES,null,null,null,null
auth,users,18,raw_user_meta_data,jsonb,YES,null,null,null,null
auth,users,19,is_super_admin,boolean,YES,null,null,null,null
auth,users,20,created_at,timestamp with time zone,YES,null,null,null,null
auth,users,21,updated_at,timestamp with time zone,YES,null,null,null,null
auth,users,22,phone,text,YES,NULL::character varying,null,null,null
auth,users,23,phone_confirmed_at,timestamp with time zone,YES,null,null,null,null
auth,users,24,phone_change,text,YES,''::character varying,null,null,null
auth,users,25,phone_change_token,character varying(255),YES,''::character varying,null,null,null
auth,users,26,phone_change_sent_at,timestamp with time zone,YES,null,null,null,null
auth,users,27,confirmed_at,timestamp with time zone,YES,"LEAST(email_confirmed_at, phone_confirmed_at)",null,stored,null
auth,users,28,email_change_token_current,character varying(255),YES,''::character varying,null,null,null
auth,users,29,email_change_confirm_status,smallint,YES,0,null,null,null
auth,users,30,banned_until,timestamp with time zone,YES,null,null,null,null
auth,users,31,reauthentication_token,character varying(255),YES,''::character varying,null,null,null
auth,users,32,reauthentication_sent_at,timestamp with time zone,YES,null,null,null,null
auth,users,33,is_sso_user,boolean,NO,false,null,null,Auth: Set this column to true when the account comes from SSO. These accounts can have duplicate emails.
auth,users,34,deleted_at,timestamp with time zone,YES,null,null,null,null
auth,users,35,is_anonymous,boolean,NO,false,null,null,null
extensions,pg_stat_statements,1,userid,oid,YES,null,null,null,null
extensions,pg_stat_statements,2,dbid,oid,YES,null,null,null,null
extensions,pg_stat_statements,3,toplevel,boolean,YES,null,null,null,null
extensions,pg_stat_statements,4,queryid,bigint,YES,null,null,null,null
extensions,pg_stat_statements,5,query,text,YES,null,null,null,null
extensions,pg_stat_statements,6,plans,bigint,YES,null,null,null,null
extensions,pg_stat_statements,7,total_plan_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,8,min_plan_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,9,max_plan_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,10,mean_plan_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,11,stddev_plan_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,12,calls,bigint,YES,null,null,null,null
extensions,pg_stat_statements,13,total_exec_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,14,min_exec_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,15,max_exec_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,16,mean_exec_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,17,stddev_exec_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,18,rows,bigint,YES,null,null,null,null
extensions,pg_stat_statements,19,shared_blks_hit,bigint,YES,null,null,null,null
extensions,pg_stat_statements,20,shared_blks_read,bigint,YES,null,null,null,null
extensions,pg_stat_statements,21,shared_blks_dirtied,bigint,YES,null,null,null,null
extensions,pg_stat_statements,22,shared_blks_written,bigint,YES,null,null,null,null
extensions,pg_stat_statements,23,local_blks_hit,bigint,YES,null,null,null,null
extensions,pg_stat_statements,24,local_blks_read,bigint,YES,null,null,null,null
extensions,pg_stat_statements,25,local_blks_dirtied,bigint,YES,null,null,null,null
extensions,pg_stat_statements,26,local_blks_written,bigint,YES,null,null,null,null
extensions,pg_stat_statements,27,temp_blks_read,bigint,YES,null,null,null,null
extensions,pg_stat_statements,28,temp_blks_written,bigint,YES,null,null,null,null
extensions,pg_stat_statements,29,shared_blk_read_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,30,shared_blk_write_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,31,local_blk_read_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,32,local_blk_write_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,33,temp_blk_read_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,34,temp_blk_write_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,35,wal_records,bigint,YES,null,null,null,null
extensions,pg_stat_statements,36,wal_fpi,bigint,YES,null,null,null,null
extensions,pg_stat_statements,37,wal_bytes,numeric,YES,null,null,null,null
extensions,pg_stat_statements,38,jit_functions,bigint,YES,null,null,null,null
extensions,pg_stat_statements,39,jit_generation_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,40,jit_inlining_count,bigint,YES,null,null,null,null
extensions,pg_stat_statements,41,jit_inlining_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,42,jit_optimization_count,bigint,YES,null,null,null,null
extensions,pg_stat_statements,43,jit_optimization_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,44,jit_emission_count,bigint,YES,null,null,null,null
extensions,pg_stat_statements,45,jit_emission_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,46,jit_deform_count,bigint,YES,null,null,null,null
extensions,pg_stat_statements,47,jit_deform_time,double precision,YES,null,null,null,null
extensions,pg_stat_statements,48,stats_since,timestamp with time zone,YES,null,null,null,null
extensions,pg_stat_statements,49,minmax_stats_since,timestamp with time zone,YES,null,null,null,null
extensions,pg_stat_statements_info,1,dealloc,bigint,YES,null,null,null,null
extensions,pg_stat_statements_info,2,stats_reset,timestamp with time zone,YES,null,null,null,null
preserve,exercise_library,1,id,uuid,NO,gen_random_uuid(),null,null,null
preserve,exercise_library,2,name,text,NO,null,null,null,null
preserve,exercise_library,3,description,text,YES,null,null,null,null
preserve,exercise_library,4,category,text,YES,null,null,null,null
preserve,exercise_library,5,equipment,text[],YES,null,null,null,null
preserve,exercise_library,6,video_url,text,YES,null,null,null,null
preserve,exercise_library,7,patterns,text[],YES,'{}'::text[],null,null,null
preserve,exercise_library,8,primary_muscles,text[],YES,'{}'::text[],null,null,null
preserve,exercise_library,9,goal_effectiveness,jsonb,YES,'{}'::jsonb,null,null,null
preserve,exercise_library,10,complexity_level,integer,YES,null,null,null,null
preserve,exercise_library,11,name_lc,text,YES,lower(name),null,stored,null
preserve,exercise_library_i18n,1,exercise_id,uuid,NO,null,null,null,null
preserve,exercise_library_i18n,2,locale,text,NO,null,null,null,null
preserve,exercise_library_i18n,3,name,text,NO,null,null,null,null
preserve,exercise_library_i18n,4,description,text,YES,null,null,null,null
preserve,exercise_library_i18n,5,cues,text[],YES,null,null,null,null
preserve,exercise_library_i18n,6,contraindications,text[],YES,null,null,null,null
preserve,exercise_library_i18n,7,search_tsv,tsvector,YES,"to_tsvector('simple'::regconfig, ((COALESCE(name, ''::text) || ' '::text) || COALESCE(description, ''::text)))",null,stored,null
preserve,exercise_variant_i18n,1,variant_id,uuid,YES,null,null,null,null
preserve,exercise_variant_i18n,2,locale,text,NO,null,null,null,null
preserve,exercise_variant_i18n,3,name,text,NO,null,null,null,null
preserve,exercise_variant_i18n,4,notes,text,YES,null,null,null,null
preserve,exercise_variant_i18n,5,search_tsv,tsvector,YES,"to_tsvector('simple'::regconfig, ((COALESCE(name, ''::text) || ' '::text) || COALESCE(notes, ''::text)))",null,stored,null
preserve,exercise_variants,1,id,uuid,NO,gen_random_uuid(),null,null,null
preserve,exercise_variants,2,exercise_id,uuid,NO,null,null,null,null
preserve,exercise_variants,3,modality,modality_enum,NO,null,null,null,null
preserve,exercise_variants,4,name,text,NO,null,null,null,null
preserve,exercise_variants,5,environments,environment_enum[],NO,null,null,null,null
preserve,exercise_variants,6,equipment,text[],YES,'{}'::text[],null,null,null
preserve,exercise_variants,7,is_assessment_default,boolean,YES,false,null,null,null
preserve,exercise_variants,8,created_at,timestamp with time zone,YES,now(),null,null,null
preserve,exercise_variants,9,tags,text[],YES,'{}'::text[],null,null,null
preserve,exercise_variants,10,exercise_name,text,YES,null,null,null,null
preserve,exercise_variants,11,category,text,YES,null,null,null,null
preserve,exercise_variants,12,variant_name_lc,text,YES,lower(name),null,stored,null
realtime,messages,3,topic,text,NO,null,null,null,null
realtime,messages,4,extension,text,NO,null,null,null,null
realtime,messages,5,payload,jsonb,YES,null,null,null,null
realtime,messages,6,event,text,YES,null,null,null,null
realtime,messages,7,private,boolean,YES,false,null,null,null
realtime,messages,8,updated_at,timestamp without time zone,NO,now(),null,null,null
realtime,messages,9,inserted_at,timestamp without time zone,NO,now(),null,null,null
realtime,messages,10,id,uuid,NO,gen_random_uuid(),null,null,null
realtime,schema_migrations,1,version,bigint,NO,null,null,null,null
realtime,schema_migrations,2,inserted_at,timestamp(0) without time zone,YES,null,null,null,null
realtime,subscription,1,id,bigint,NO,null,ALWAYS,null,null
realtime,subscription,2,subscription_id,uuid,NO,null,null,null,null
realtime,subscription,4,entity,regclass,NO,null,null,null,null
realtime,subscription,5,filters,realtime.user_defined_filter[],NO,'{}'::realtime.user_defined_filter[],null,null,null
realtime,subscription,7,claims,jsonb,NO,null,null,null,null
realtime,subscription,8,claims_role,regrole,NO,realtime.to_regrole((claims ->> 'role'::text)),null,stored,null
realtime,subscription,9,created_at,timestamp without time zone,NO,"timezone('utc'::text, now())",null,null,null
storage,buckets,1,id,text,NO,null,null,null,null
storage,buckets,2,name,text,NO,null,null,null,null
storage,buckets,3,owner,uuid,YES,null,null,null,"Field is deprecated, use owner_id instead"
storage,buckets,4,created_at,timestamp with time zone,YES,now(),null,null,null
storage,buckets,5,updated_at,timestamp with time zone,YES,now(),null,null,null
storage,buckets,6,public,boolean,YES,false,null,null,null
storage,buckets,7,avif_autodetection,boolean,YES,false,null,null,null
storage,buckets,8,file_size_limit,bigint,YES,null,null,null,null
storage,buckets,9,allowed_mime_types,text[],YES,null,null,null,null
storage,buckets,10,owner_id,text,YES,null,null,null,null
storage,buckets,11,type,storage.buckettype,NO,'STANDARD'::storage.buckettype,null,null,null
storage,buckets_analytics,1,id,text,NO,null,null,null,null
storage,buckets_analytics,2,type,storage.buckettype,NO,'ANALYTICS'::storage.buckettype,null,null,null
storage,buckets_analytics,3,format,text,NO,'ICEBERG'::text,null,null,null
storage,buckets_analytics,4,created_at,timestamp with time zone,NO,now(),null,null,null
storage,buckets_analytics,5,updated_at,timestamp with time zone,NO,now(),null,null,null
storage,migrations,1,id,integer,NO,null,null,null,null
storage,migrations,2,name,character varying(100),NO,null,null,null,null
storage,migrations,3,hash,character varying(40),NO,null,null,null,null
storage,migrations,4,executed_at,timestamp without time zone,YES,CURRENT_TIMESTAMP,null,null,null
storage,objects,1,id,uuid,NO,gen_random_uuid(),null,null,null
storage,objects,2,bucket_id,text,YES,null,null,null,null
storage,objects,3,name,text,YES,null,null,null,null
storage,objects,4,owner,uuid,YES,null,null,null,"Field is deprecated, use owner_id instead"
storage,objects,5,created_at,timestamp with time zone,YES,now(),null,null,null
storage,objects,6,updated_at,timestamp with time zone,YES,now(),null,null,null
storage,objects,7,last_accessed_at,timestamp with time zone,YES,now(),null,null,null
storage,objects,8,metadata,jsonb,YES,null,null,null,null
storage,objects,9,path_tokens,text[],YES,"string_to_array(name, '/'::text)",null,stored,null
storage,objects,10,version,text,YES,null,null,null,null
storage,objects,11,owner_id,text,YES,null,null,null,null
storage,objects,12,user_metadata,jsonb,YES,null,null,null,null
storage,objects,13,level,integer,YES,null,null,null,null
storage,prefixes,1,bucket_id,text,NO,null,null,null,null
storage,prefixes,2,name,text,NO,null,null,null,null
storage,prefixes,3,level,integer,NO,storage.get_level(name),null,stored,null
storage,prefixes,4,created_at,timestamp with time zone,YES,now(),null,null,null
storage,prefixes,5,updated_at,timestamp with time zone,YES,now(),null,null,null
storage,s3_multipart_uploads,1,id,text,NO,null,null,null,null
storage,s3_multipart_uploads,2,in_progress_size,bigint,NO,0,null,null,null
storage,s3_multipart_uploads,3,upload_signature,text,NO,null,null,null,null
storage,s3_multipart_uploads,4,bucket_id,text,NO,null,null,null,null
storage,s3_multipart_uploads,5,key,text,NO,null,null,null,null
storage,s3_multipart_uploads,6,version,text,NO,null,null,null,null
storage,s3_multipart_uploads,7,owner_id,text,YES,null,null,null,null
storage,s3_multipart_uploads,8,created_at,timestamp with time zone,NO,now(),null,null,null
storage,s3_multipart_uploads,9,user_metadata,jsonb,YES,null,null,null,null
storage,s3_multipart_uploads_parts,1,id,uuid,NO,gen_random_uuid(),null,null,null
storage,s3_multipart_uploads_parts,2,upload_id,text,NO,null,null,null,null
storage,s3_multipart_uploads_parts,3,size,bigint,NO,0,null,null,null
storage,s3_multipart_uploads_parts,4,part_number,integer,NO,null,null,null,null
storage,s3_multipart_uploads_parts,5,bucket_id,text,NO,null,null,null,null
storage,s3_multipart_uploads_parts,6,key,text,NO,null,null,null,null
storage,s3_multipart_uploads_parts,7,etag,text,NO,null,null,null,null
storage,s3_multipart_uploads_parts,8,owner_id,text,YES,null,null,null,null
storage,s3_multipart_uploads_parts,9,version,text,NO,null,null,null,null
storage,s3_multipart_uploads_parts,10,created_at,timestamp with time zone,NO,now(),null,null,null
supabase_migrations,schema_migrations,1,version,text,NO,null,null,null,null
supabase_migrations,schema_migrations,2,statements,text[],YES,null,null,null,null
supabase_migrations,schema_migrations,3,name,text,YES,null,null,null,null
supabase_migrations,schema_migrations,4,created_by,text,YES,null,null,null,null
supabase_migrations,schema_migrations,5,idempotency_key,text,YES,null,null,null,null
supabase_migrations,seed_files,1,path,text,NO,null,null,null,null
supabase_migrations,seed_files,2,hash,text,NO,null,null,null,null
vault,decrypted_secrets,1,id,uuid,YES,null,null,null,null
vault,decrypted_secrets,2,name,text,YES,null,null,null,null
vault,decrypted_secrets,3,description,text,YES,null,null,null,null
vault,decrypted_secrets,4,secret,text,YES,null,null,null,null
vault,decrypted_secrets,5,decrypted_secret,text,YES,null,null,null,null
vault,decrypted_secrets,6,key_id,uuid,YES,null,null,null,null
vault,decrypted_secrets,7,nonce,bytea,YES,null,null,null,null
vault,decrypted_secrets,8,created_at,timestamp with time zone,YES,null,null,null,null
vault,decrypted_secrets,9,updated_at,timestamp with time zone,YES,null,null,null,null
vault,secrets,1,id,uuid,NO,gen_random_uuid(),null,null,null
vault,secrets,2,name,text,YES,null,null,null,null
vault,secrets,3,description,text,NO,''::text,null,null,null
vault,secrets,4,secret,text,NO,null,null,null,null
vault,secrets,5,key_id,uuid,YES,null,null,null,null
vault,secrets,6,nonce,bytea,YES,vault._crypto_aead_det_noncegen(),null,null,null
vault,secrets,7,created_at,timestamp with time zone,NO,CURRENT_TIMESTAMP,null,null,null
vault,secrets,8,updated_at,timestamp with time zone,NO,CURRENT_TIMESTAMP,null,null,null