table_schema,relation_name,relkind,relation_type,owner,has_row_level_security,comment
app,user_state,r,table,postgres,false,null
app,v_user_state,v,view,postgres,false,null
app2,coach_audit,r,table,postgres,true,null
app2,logged_sets,r,table,postgres,true,null
app2,plans,r,table,postgres,true,null
app2,profiles,r,table,postgres,true,null
app2,session_exercises,r,table,postgres,true,"Ordered exercise rows for a session. Warm-up rows: variant_id NULL & prescription.stage=""warmup""."
app2,sessions,r,table,postgres,true,null
app2,v_session_exercises_enriched,v,view,postgres,false,null
app2,v_session_metrics,v,view,postgres,false,null
auth,refresh_tokens_id_seq,S,sequence,supabase_auth_admin,false,null
auth,audit_log_entries,r,table,supabase_auth_admin,true,Auth: Audit trail for user actions.
auth,flow_state,r,table,supabase_auth_admin,true,stores metadata for pkce logins
auth,identities,r,table,supabase_auth_admin,true,Auth: Stores identities associated to a user.
auth,instances,r,table,supabase_auth_admin,true,Auth: Manages users across multiple sites.
auth,mfa_amr_claims,r,table,supabase_auth_admin,true,auth: stores authenticator method reference claims for multi factor authentication
auth,mfa_challenges,r,table,supabase_auth_admin,true,auth: stores metadata about challenge requests made
auth,mfa_factors,r,table,supabase_auth_admin,true,auth: stores metadata about factors
auth,one_time_tokens,r,table,supabase_auth_admin,true,null
auth,refresh_tokens,r,table,supabase_auth_admin,true,Auth: Store of tokens used to refresh JWT tokens once they expire.
auth,saml_providers,r,table,supabase_auth_admin,true,Auth: Manages SAML Identity Provider connections.
auth,saml_relay_states,r,table,supabase_auth_admin,true,Auth: Contains SAML Relay State information for each Service Provider initiated login.
auth,schema_migrations,r,table,supabase_auth_admin,true,Auth: Manages updates to the auth system.
auth,sessions,r,table,supabase_auth_admin,true,Auth: Stores session data associated to a user.
auth,sso_domains,r,table,supabase_auth_admin,true,Auth: Manages SSO email address domain mapping to an SSO Identity Provider.
auth,sso_providers,r,table,supabase_auth_admin,true,Auth: Manages SSO identity provider information; see saml_providers for SAML.
auth,users,r,table,supabase_auth_admin,true,Auth: Stores user login data within a secure schema.
extensions,pg_stat_statements,v,view,postgres,false,null
extensions,pg_stat_statements_info,v,view,postgres,false,null
graphql,seq_schema_version,S,sequence,supabase_admin,false,null
preserve,exercise_library,r,table,postgres,true,null
preserve,exercise_library_i18n,r,table,postgres,true,null
preserve,exercise_variant_i18n,r,table,postgres,true,null
preserve,exercise_variants,r,table,postgres,true,null
realtime,messages_pkey,I,other,supabase_realtime_admin,false,null
realtime,user_defined_filter,c,other,supabase_admin,false,null
realtime,wal_column,c,other,supabase_admin,false,null
realtime,wal_rls,c,other,supabase_admin,false,null
realtime,messages,p,partitioned_table,supabase_realtime_admin,true,null
realtime,subscription_id_seq,S,sequence,supabase_admin,false,null
realtime,schema_migrations,r,table,supabase_admin,false,null
realtime,subscription,r,table,supabase_admin,false,null
storage,buckets,r,table,supabase_storage_admin,true,null
storage,buckets_analytics,r,table,supabase_storage_admin,true,null
storage,migrations,r,table,supabase_storage_admin,true,null
storage,objects,r,table,supabase_storage_admin,true,null
storage,prefixes,r,table,supabase_storage_admin,true,null
storage,s3_multipart_uploads,r,table,supabase_storage_admin,true,null
storage,s3_multipart_uploads_parts,r,table,supabase_storage_admin,true,null
supabase_migrations,schema_migrations,r,table,postgres,false,null
supabase_migrations,seed_files,r,table,postgres,false,null
vault,secrets,r,table,supabase_admin,false,Table with encrypted `secret` column for storing sensitive information on disk.
vault,decrypted_secrets,v,view,supabase_admin,false,null