schema_name,relation_name,relation_type
app,user_state,table
app,v_user_state,view
app2,coach_audit,table
app2,logged_sets,table
app2,plans,table
app2,profiles,table
app2,session_exercises,table
app2,sessions,table
app2,v_exercise_catalog,view
app2,v_exercise_library_localized,view
app2,v_exercise_variants_localized,view
app2,v_session_exercises_enriched,view
app2,v_session_metrics,view
auth,audit_log_entries,table
auth,flow_state,table
auth,identities,table
auth,instances,table
auth,mfa_amr_claims,table
auth,mfa_challenges,table
auth,mfa_factors,table
auth,one_time_tokens,table
auth,refresh_tokens,table
auth,saml_providers,table
auth,saml_relay_states,table
auth,schema_migrations,table
auth,sessions,table
auth,sso_domains,table
auth,sso_providers,table
auth,users,table
extensions,pg_stat_statements,view
extensions,pg_stat_statements_info,view
preserve,exercise_library,table
preserve,exercise_library_i18n,table
preserve,exercise_variant_i18n,table
preserve,exercise_variants,table
realtime,schema_migrations,table
realtime,subscription,table
storage,buckets,table
storage,buckets_analytics,table
storage,migrations,table
storage,objects,table
storage,prefixes,table
storage,s3_multipart_uploads,table
storage,s3_multipart_uploads_parts,table
supabase_migrations,schema_migrations,table
supabase_migrations,seed_files,table
vault,secrets,table
vault,decrypted_secrets,view