schema_name,table_name,column_count,est_rows,name_matches_pattern
app,user_state,3,-1,false
app2,coach_audit,9,-1,false
app2,session_exercises,9,3,false
app2,sessions,10,1,false
auth,audit_log_entries,5,401,false
auth,identities,9,1,false
auth,instances,5,-1,false
auth,mfa_amr_claims,5,16,false
auth,mfa_challenges,7,-1,false
auth,one_time_tokens,7,3,false
auth,refresh_tokens,9,10,true
auth,saml_providers,9,-1,false
auth,saml_relay_states,8,-1,false
auth,schema_migrations,1,62,false
auth,sso_domains,5,-1,false
auth,sso_providers,5,-1,false
preserve,exercise_library_i18n,7,43,false
realtime,messages,8,-1,false
realtime,schema_migrations,2,63,false
realtime,subscription,7,-1,false
storage,buckets_analytics,5,-1,false
storage,migrations,4,-1,false
storage,prefixes,5,-1,true
storage,s3_multipart_uploads,9,-1,false
storage,s3_multipart_uploads_parts,10,-1,false
supabase_migrations,schema_migrations,5,-1,false
supabase_migrations,seed_files,2,-1,false
vault,secrets,8,-1,false